run_id,model,depth_label,status,generation_mode,signal_type,n_components,selected_component_types,noise_level,duration,fs,train_samples,val_samples,test_samples,total_samples,train_fraction
552f3cb3ef26,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
3120248b2484,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
91c32582499b,unet1d,deep,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
dc4a3754b69d,tasnet,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
98cb03e721f1,tasnet,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
c98135c33750,tasnet,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
2c5e0638f34d,tasnet,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
46e33aacb070,tasnet,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
d4d679b3e80c,tasnet,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
4f158372e00f,unet1d,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
0f8a5caa61e7,unet1d,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
c139e20feea6,unet1d,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
51d1b3ee60d8,unet1d,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
c198b42c1267,unet1d,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
9f3e768a5b94,unet1d,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
7a26beb97f0a,sepformer,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
b78acfba2fb1,sepformer,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
045e4f13e895,sepformer,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
a3d41d81bf7c,sepformer,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
214dc26f5f9c,sepformer,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
fef1c9041d55,sepformer,deep,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
21cb1cad6231,attention_stem_multi_head_multiscale_tcn,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
a2ebe35fd339,attention_stem_multi_head_multiscale_tcn,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
8a1bf1991014,attention_stem_multi_head_multiscale_tcn,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
17ed0f614835,attention_stem_multi_head_multiscale_tcn,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
6934b796b495,attention_stem_multi_head_multiscale_tcn,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
e22eb82d150d,attention_stem_multi_head_multiscale_tcn,shallow,failed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
c9bfb30724ac,mlp_singlehead,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
0c45e4ba1f5f,mlp_singlehead,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
c3e6767a08db,mlp_singlehead,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
53f1f21665bc,mlp_singlehead,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
295da060285a,mlp_singlehead,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
b494e9362313,mlp_singlehead,shallow,started,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
